Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,Y/A,TD.1,Tgt,Rec,Yds.2,Y/R,TD.2,Fmb,FL,TD.3,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
C.J. Beathard,JAX,QB,29,1,0,0,0,0,0,0,1,-1,-1.00,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,-0.1,-0.1,0,43,0
Luke Farrell,JAX,0,25,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0
Jamycal Hasty,JAX,0,26,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0
Chris Manhertz,JAX,0,30,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0
Chad Henne,KAN,0,37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,40,0
Salvon Ahmed,MIA,0,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,0
Teddy Bridgewater,MIA,QB,30,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0
Cethan Carter,MIA,0,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0
Myles Gaskin,MIA,0,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0
Hunter Long,MIA,0,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0
Adam Prentice,NOR,RB,25,3,1,0,0,0,0,0,0,0,0,0,1,1,2,2.00,0,1,0,0,0,0,0,1.2,1.2,0.7,0,99,0
Matthew Slater,NWE,0,37,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,0
Darius Slayton,NYG,0,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,0
Antonio Williams,NYG,0,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0
Lawrence Cager,NYJ,0,25,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,0
Justin Hardee,NYJ,0,28,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,0
Ty Johnson,NYJ,RB,25,3,0,0,0,0,0,0,0,0,0,0,3,1,4,4.00,0,0,0,0,0,0,0,1.4,1.4,0.9,0,95,0
Trenton Cannon,TEN,0,28,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,0
Josh Gordon,TEN,0,31,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,0
Kevin Rader,TEN,0,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0
Malik Willis,TEN,QB,23,1,0,1,4,6,0,0,4,16,4.00,0,0,0,0,0,0,1,1,0,0,0,0,-0.2,0.8,-0.2,0,44,0
Jack Stoll,PHI,TE,24,3,1,0,0,0,0,0,0,0,0,0,2,1,4,4.00,0,0,0,0,0,0,0,1.4,1.4,0.9,0,81,0
Noah Togiai,PHI,0,25,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0
Miles Boykin,PIT,0,26,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,0
Gunner Olszewski,PIT,WR,26,3,0,0,0,0,0,0,1,18,18.00,0,0,0,0,0,0,1,1,0,0,0,0,-0.2,0.8,-0.2,0,179,0
Benny Snell Jr.,PIT,0,24,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0
Derek Watt,PIT,RB,30,3,0,0,0,0,0,0,1,2,2.00,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0,100,0
Jesper Horsted,LVR,0,25,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,0
Jakob Johnson,LVR,RB,28,3,1,0,0,0,0,0,0,0,0,0,1,1,1,1.00,0,0,0,0,0,0,0,1.1,1.1,0.6,0,102,0
Tyron Johnson,LVR,0,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,0
Zamir White,LVR,RB,23,3,0,0,0,0,0,0,1,2,2.00,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0,101,0
Tutu Atwell,LAR,0,23,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,0
Jake Funk,LAR,0,24,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,0
Jacob Harris,LAR,0,25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0
Brycen Hopkins,LAR,0,25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0
Matthew Orzech,LAR,0,27,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
Keir Thomas,LAR,0,24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,0
Nick Boyle,BAL,0,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0
James Proche,BAL,0,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,0
Chase Daniel,LAC,0,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0
Jason Moore,LAC,0,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,0
Richard Rodgers,LAC,0,30,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0
Marlon Mack,SFO,0,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,0
Malik Turner,SFO,0,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,0
Charlie Woerner,SFO,0,25,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0
Giovani Bernard,TAM,0,31,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0
Cade Otton,TAM,TE,23,2,2,0,0,0,0,0,0,0,0,0,2,1,4,4.00,0,0,0,0,0,0,0,1.4,1.4,0.9,0,82,0
Ke'Shawn Vaughn,TAM,0,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,0
Dyami Brown,WAS,0,23,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,0
Cam Sims,WAS,0,26,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,0
